case_id,reported_date,case_type,subject_ar,case_summary_ar,handling_unit,case_status
CASE-00818,2022-04-01,بلاغ مبلّغ,ملف محال للجهة العليا رقم HC-2022-82,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2022-5720 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-00819,2019-03-19,استخدام غير مصرح للأنظمة,قضية إساءة استخدام معلومات داخلية في قطاع الشراكات,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2019-6769 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00820,2021-07-11,مخالفة مشتريات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2021-1534 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-00821,2022-10-25,بلاغ مبلّغ,قضية إساءة استخدام معلومات داخلية في قطاع التحول الرقمي,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2022-2698 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00822,2019-03-25,احتيال مالي,مخالفة خصوصية في تداول ملفات المنسوبين,تداول ملفات موظفين دون مراعاة ضوابط خصوصية البيانات. المرجع CASE-2019-6480 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00823,2024-02-18,بلاغ مبلّغ,قضية اشتباه تجسس إلكتروني على بوابة المستفيدين,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2024-9434 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,مغلق
CASE-00824,2022-05-15,استخدام غير مصرح للأنظمة,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2022-3152 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00825,2021-05-20,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في ضبط الجودة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2021-1006 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00826,2023-08-09,إساءة استخدام صلاحيات,ملخص مواجهة أطراف في الملف رقم MF-2023-137,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2023-2527 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00827,2024-03-29,تعارض مصالح,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2024-8864 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-00828,2024-01-21,استخدام غير مصرح للأنظمة,قضية اشتباه تجسس إلكتروني على نظام الأرشفة الإلكترونية,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2024-9523 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00829,2023-10-31,احتيال مالي,تحقيق في احتيال مالي بقيمة تقديرية 38 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-1479 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00830,2025-04-20,تسريب معلومات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2025-7367 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00831,2024-10-06,تسريب معلومات,قضية تعارض مصالح في ترسية برنامج الاستحواذ التقني,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-9219 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-00832,2020-02-21,مخالفة سلوك مهني,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2020-5180 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,مغلق
CASE-00833,2020-03-07,مخالفة سلوك مهني,تحقيق في تلاعب بسجلات الاعتماد في مركز البيانات الرئيسي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2020-2547 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-00834,2025-07-30,مخالفة تعاقدية,ملف مراجعة خاصة رقم SR-2025-824,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2025-1751 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد التحقيق
CASE-00835,2021-02-27,مخالفة سلوك مهني,ملف محال للجهة العليا رقم HC-2021-73,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2021-9144 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-00836,2024-11-26,مخالفة سلوك مهني,تحقيق في محاولة الوصول إلى سجلات تحركات القوات,محاولة موظف الوصول إلى سجلات تحركات القوات دون تصريح. المرجع CASE-2024-4783 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00837,2025-11-17,مخالفة مشتريات,تحقيق في تلاعب بسجلات الاعتماد في منصة تبادل البيانات الوطنية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2025-9627 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00838,2023-06-25,تسريب معلومات,مذكرة داخلية بشأن ضبط الحضور في الشؤون القانونية,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2023-6760 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00839,2021-08-25,بلاغ مبلّغ,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2021-3881 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00840,2021-04-13,احتيال مالي,قضية تعارض مصالح في ترسية برنامج المرونة التشغيلية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2021-7978 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00841,2021-06-20,بلاغ مبلّغ,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2021-5939 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-00842,2025-04-14,استخدام غير مصرح للأنظمة,تحقيق في تلاعب بسجلات الاعتماد في منصة الخدمات الحكومية الموحدة,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2025-2657 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00843,2026-06-15,تسريب معلومات,تحقيق في محاولة الوصول إلى سجلات تحركات القوات,محاولة موظف الوصول إلى سجلات تحركات القوات دون تصريح. المرجع CASE-2026-9768 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-00844,2025-05-19,احتيال مالي,تحقيق في تسريب خطط عمليات أمنية لفعالية وطنية,تسريب جدول عمليات أمنية قبل تنفيذ الفعالية الوطنية. المرجع CASE-2025-1216 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00845,2021-05-31,مخالفة تعاقدية,تحقيق في احتيال مالي بقيمة تقديرية 39 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2021-4175 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-00846,2023-03-31,بلاغ مبلّغ,شكوى بيئة عمل في الخدمات المساندة,شكوى موظف تتضمن بيانات شخصية وتفاصيل تواصل داخلية. المرجع CASE-2023-9770 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00847,2024-05-12,استخدام غير مصرح للأنظمة,إعلان قناة البلاغات في الخبر - 2024,إعلان رسمي عن إطلاق قناة استقبال البلاغات وآلية استخدامها. المرجع CASE-2024-2406 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-00848,2019-02-26,مخالفة سلوك مهني,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2019-2758 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00849,2019-05-20,مخالفة مشتريات,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2019-5469 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00850,2020-02-04,مخالفة سلوك مهني,تحقيق في تسريب خطط عمليات أمنية لفعالية وطنية,تسريب جدول عمليات أمنية قبل تنفيذ الفعالية الوطنية. المرجع CASE-2020-1429 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00851,2023-05-26,استخدام غير مصرح للأنظمة,قضية اشتباه تجسس إلكتروني على منصة المراسلات الرسمية,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2023-1766 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
CASE-00852,2019-11-24,مخالفة سلوك مهني,ملخص مواجهة أطراف في الملف رقم MF-2019-147,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2019-1672 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00853,2023-09-26,تسريب معلومات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2023-1018 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00854,2025-03-27,احتيال مالي,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2025-1070 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-00855,2022-06-07,تعارض مصالح,تحقيق في احتيال مالي بقيمة تقديرية 22 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2022-8153 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00856,2025-01-19,تسريب معلومات,مخالفة خصوصية في تداول ملفات المنسوبين,تداول ملفات موظفين دون مراعاة ضوابط خصوصية البيانات. المرجع CASE-2025-5564 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00857,2019-12-31,احتيال مالي,ملخص مواجهة أطراف في الملف رقم MF-2019-182,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2019-1604 · الجهة المعنية: وحدة مكافحة الاحتيال.,,بانتظار الرد
CASE-00858,2024-07-23,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في الخدمات المساندة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2024-9887 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00859,2024-08-29,بلاغ مبلّغ,تحقيق في تلاعب بسجلات الاعتماد في منصة التوثيق الإلكتروني,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2024-7690 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-00860,2020-11-15,تسريب معلومات,ملف محال للجهة العليا رقم HC-2020-40,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2020-2486 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00861,2023-03-23,احتيال مالي,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2023-1981 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00862,2024-10-24,بلاغ مبلّغ,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2024-1618 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00863,2020-04-27,استخدام غير مصرح للأنظمة,ملخص مواجهة أطراف في الملف رقم MF-2020-792,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2020-7262 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
CASE-00864,2023-11-12,استخدام غير مصرح للأنظمة,تحقيق في احتيال مالي بقيمة تقديرية 14 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-2888 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00865,2024-09-21,مخالفة سلوك مهني,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2024-9486 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00866,2019-07-05,مخالفة تعاقدية,تحقيق في احتيال مالي بقيمة تقديرية 21 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2019-3176 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-00867,2019-11-29,استخدام غير مصرح للأنظمة,ملف مراجعة خاصة رقم SR-2019-519,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2019-2153 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00868,2025-11-09,مخالفة مشتريات,تحقيق في مخالفة تعاقدية مع تحالف صناعي دولي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2025-2263 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد التحقيق
CASE-00869,2020-05-22,تسريب معلومات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2020-5968 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-00870,2025-05-08,مخالفة مشتريات,تحقيق في تلاعب بسجلات الاعتماد في شبكة الربط الحكومي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2025-4881 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
CASE-00871,2024-04-05,بلاغ مبلّغ,قضية تعارض مصالح في ترسية برنامج الحوسبة السيادية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-8350 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00872,2026-05-27,استخدام غير مصرح للأنظمة,قضية تعارض مصالح في ترسية برنامج الذكاء الاصطناعي المؤسسي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2026-4006 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-00873,2020-06-02,احتيال مالي,تحقيق في تواطؤ محتمل بين موردي قطاع العمليات,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2020-5553 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-00874,2020-03-21,تسريب معلومات,تحقيق في تلاعب بسجلات الاعتماد في بوابة الموردين الإلكترونية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2020-3213 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد التحقيق
CASE-00875,2020-09-25,بلاغ مبلّغ,منشور سياسة السلوك المهني - ضبط الجودة 2020,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2020-9775 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00876,2019-03-26,مخالفة تعاقدية,بلاغ مبلّغ عن مخالفات في الموارد البشرية,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2019-2263 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00877,2023-01-14,تسريب معلومات,تحقيق في تلاعب بسجلات الاعتماد في منصة التحليلات المؤسسية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2023-9341 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00878,2024-06-23,إساءة استخدام صلاحيات,قضية تعارض مصالح في ترسية برنامج أمن سلاسل الإمداد,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-1094 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-00879,2021-12-14,مخالفة سلوك مهني,تحقيق في تلاعب بسجلات الاعتماد في منصة التحليلات المؤسسية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2021-2043 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-00880,2024-06-29,احتيال مالي,تحقيق في مخالفة تعاقدية مع شريك تقني عالمي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2024-3956 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00881,2024-01-30,مخالفة مشتريات,اعتراض على احتساب راتب موظف في الشؤون القانونية,طلب مراجعة احتساب راتب وبدلات لموظف واحد. المرجع CASE-2024-3919 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00882,2024-12-01,تسريب معلومات,قضية تعارض مصالح في ترسية برنامج التوسع الإقليمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-5583 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00883,2020-05-20,استخدام غير مصرح للأنظمة,مذكرة داخلية بشأن ضبط الحضور في إدارة المخاطر,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2020-9016 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,مغلق
CASE-00884,2025-01-21,تعارض مصالح,تحقيق في مخالفة تعاقدية مع منظمة إقليمية,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2025-2560 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00885,2022-12-03,مخالفة سلوك مهني,ملخص مواجهة أطراف في الملف رقم MF-2022-584,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2022-6987 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00886,2020-04-08,إساءة استخدام صلاحيات,إعلان قناة البلاغات في جدة - 2020,إعلان رسمي عن إطلاق قناة استقبال البلاغات وآلية استخدامها. المرجع CASE-2020-9569 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00887,2024-05-19,بلاغ مبلّغ,منشور سياسة السلوك المهني - التدقيق الداخلي 2024,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2024-6599 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00888,2025-04-02,مخالفة مشتريات,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2025-1589 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00889,2021-06-23,تعارض مصالح,مراجعة استراتيجية لمخاطر الالتزام في قطاع البنية التحتية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2021-8078 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-00890,2020-05-28,احتيال مالي,قضية إساءة استخدام معلومات داخلية في قطاع التحول الرقمي,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2020-1948 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-00891,2022-08-28,بلاغ مبلّغ,ملف مراجعة خاصة رقم SR-2022-372,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2022-9669 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00892,2019-09-21,إساءة استخدام صلاحيات,تحقيق في تواطؤ محتمل بين موردي قطاع التحول الرقمي,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2019-1609 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-00893,2020-11-02,مخالفة تعاقدية,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2020-4004 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00894,2021-03-05,مخالفة مشتريات,مراجعة استراتيجية لمخاطر الالتزام في قطاع العمليات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2021-6606 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-00895,2024-01-31,مخالفة سلوك مهني,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2024-5384 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,مغلق
CASE-00896,2019-01-25,إساءة استخدام صلاحيات,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2019-5113 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00897,2023-10-02,تسريب معلومات,قضية تعارض مصالح في ترسية برنامج الاستحواذ التقني,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2023-9444 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-00898,2021-06-10,مخالفة سلوك مهني,طلب إجازة طبي ممتدة - التدقيق الداخلي,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2021-9104 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00899,2019-08-14,مخالفة تعاقدية,مراجعة استراتيجية لمخاطر الالتزام في قطاع التقنية والمشاريع,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2019-5820 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00900,2026-04-25,احتيال مالي,تحقيق في تلاعب بسجلات الاعتماد في مركز البيانات الاحتياطي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2026-9780 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-00901,2026-03-10,تعارض مصالح,تحقيق في احتيال مالي بقيمة تقديرية 25 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2026-4394 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00902,2026-04-15,استخدام غير مصرح للأنظمة,تحقيق في تواطؤ محتمل بين موردي قطاع الشراكات,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2026-1337 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00903,2026-05-18,مخالفة تعاقدية,بلاغ عن تسريب بيانات تخص منشأة حيوية وطنية,بلاغ داخلي عن نقل وثائق تخص منشأة حيوية إلى جهة غير مصرح لها. المرجع CASE-2026-9165 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00904,2021-07-16,استخدام غير مصرح للأنظمة,ملف مراجعة خاصة رقم SR-2021-578,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2021-7046 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00905,2019-09-06,بلاغ مبلّغ,منشور سياسة السلوك المهني - المالية 2019,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2019-2198 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00906,2021-01-28,استخدام غير مصرح للأنظمة,ملف مراجعة خاصة رقم SR-2021-425,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2021-1195 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00907,2021-04-02,استخدام غير مصرح للأنظمة,تحقيق في تلاعب بسجلات الاعتماد في منصة التوثيق الإلكتروني,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2021-6178 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00908,2020-01-09,مخالفة تعاقدية,مراجعة استراتيجية لمخاطر الالتزام في قطاع التحول الرقمي,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2020-8572 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00909,2026-02-12,تعارض مصالح,مذكرة داخلية بشأن ضبط الحضور في الخدمات المساندة,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2026-5205 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
